Document Title,Year,Abstract,IEEE Terms,Author Keywords,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Volume,Issue,Start Page,End Page,ISSN,ISBNs,DOI,Funding Information,PDF Link,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,,,,,,
Performance analysis using J48 decision tree for Indian corporate world,2016,"The Indian economy can possibly turn into the world's third biggest economy by the following decade, and one of the biggest economies by mid-century. What's more, the viewpoint for transient development is additionally great as indicated by the IMF, the Indian economy is the “splendid spot�?in the worldwide scene, this paper analyses the most important factor that will result in understanding the Public-Private sector companies growth in India, using data mining techniques.",Companies;Data mining;Decision trees;Navigation;Standards organizations,Classification;Confusion Matrix;Decision Tree;J48;Literacy Rate;Public-private companies;Weka,M. Aashkaar; P. Sharma; N. Garg,"Amity University, Uttar Pradesh",2016 International Conference on Research Advances in Integrated Navigation Systems (RAINS),20161205,,,1,5,,Electronic:978-1-5090-1111-7; POD:978-1-5090-1112-4,10.1109/RAINS.2016.7764377,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7764377,data mining;decision trees;industrial economics;organisational aspects;production engineering computing,Indian corporate world;J48 decision tree;data mining;economy development;performance analysis;public-private sector,,,,,,,,6-7 May 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Trigger action reaction model in high performance computing for impact analysis due to Artificial Energy Drinks,2014,"The objective of the research work is to propose a trigger-action-reaction (TAR) based impact analysis model with the outcome due to Artificial Energy Drinks (AED) on Indian youth. The AED causes a drastic behavioural changes leading to potential health risks in India and the studies suggest that young people or college students are therefore vulnerable to increased problems from ingesting these products. The young community is more likely to take risks than adults and to suffer high rates of alcohol problems, including alcohol-related traffic accidents, violence, sexual assault, and suicide as per the studies. The reaction induces faster metabolism in youth by AEDs resulting to uncontrollable emotional outbursts leading to different health and legal problems. A parallel action reaction based impact analysis with number of AEDs sold out in India that results in criminal activities due to massive consumption of AEDs by the society. A formal model of trigger-action-reaction is applied and validated by multi-core programming using CUDA.",Computational modeling;Computer architecture;Graphics processing units;Positron emission tomography;Servers,artificial energy drinks;health and legal;impact assessment;multi-core programming;trigger-action,C. Subramaniam; Selvakarthik R. V.; Karthikeyan M.; Abinesh Kumar K.; Giridhara Madhavan P.,"Department of Computer science and Engineering, EASA College of Engineering and Technology, Anna University, Chennai, INDIA",2014 International Conference on High Performance Computing and Applications (ICHPCA),20150219,,,1,5,,CD-ROM:978-1-4799-5957-0; Electronic:978-1-4799-5958-7; POD:978-1-4799-5959-4,10.1109/ICHPCA.2014.7045361,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7045361,medical computing;parallel processing,AED;CUDA;Indian youth;TAR based impact analysis model;alcohol problems;artificial energy drinks;formal model;high performance computing;legal problems;multicore programming;parallel action reaction based impact analysis;potential health risks;trigger action reaction model,,0,,9,,,,22-24 Dec. 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Towards Semantically Enabled Next Generation Community Health Information Portals: The PopSciGrid Pilot,2012,"We describe an approach to developing next generation health information portals. This prototype portal was developed to address two complementary goals (1) design and create a site where people can explore potential relationships between selected health-related behaviors, policies, and demographic data (2) explore semantic web technologies and linked data as enabling technologies for next generation health informatics portals. Our multidisciplinary team includes population and behavioral scientists, social network scientists, statisticians, and computer scientists focused on creating innovative proof of concept applications that integrate complex health data in understandable and usable ways. Our semantic-web based framework allowed us to design exemplar community health portal applications, with an initial focus on tobacco-related health data such as smoking prevalence and tobacco policies (taxation and smoking bans). We describe our approach, two semantically-enabled tobacco-related applications, and discuss how this approach can be used in a broad spectrum of community health applications.",Cancer;Communities;Data visualization;Google;Portals;Resource description framework;Semantics,health information portal;policy making;semantic web;smoking,D. L. McGuinness; L. Ding; T. Lebo; J. P. McCusker; A. R. Shaikh; G. D. Morgan; G. Willis; R. P. Moser; Z. Tatalovich; B. W. Hesse; N. Contractor; P. Courtney,"Rensselaer Polytech. Inst., Troy, NY, USA",2012 45th Hawaii International Conference on System Sciences,20120209,,,2752,2760,1530-1605;15301605,Electronic:978-1-5090-5638-5; POD:978-1-4577-1925-7; USB:978-0-7695-4525-7,10.1109/HICSS.2012.605,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6149160,data handling;medical information systems;portals;semantic Web,PopSciGrid pilot;community health information portal;health informatics portal;linked data technology;next generation health information portal;semantic Web technology;smoking prevalence data;tobacco policy data;tobacco-related health data,,3,,13,,,,4-7 Jan. 2012,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Quantifying Yield Gap of Rice Production in Various Regions of Karnataka,2016,"The food produce must increase substantially in pace with the population growth. But the food production is limited due to land availability, climatic conditions, water resources and many other biophysical factors. Quantifying the food production in every hectare is necessary to make counter measures to improve the yield growth. The yield gap is the variation between the average actual yield and the average expected yield. This study is done to quantify the yield gap in major regions of Karnataka with respect to rice production. The study involves the historical information of 27 districts of Karnataka for a range of 3-20 years. The yield gap is quantified and the result shows a tremendous increase in the yield gap in the last few years. The districts are clustered based on the productivity and the yield gap. The inferences will help to take necessary precautions to reduce the yield gap and thereby keep pace with the demand and the supply of essential food crop.",Agriculture;Economics;Productivity;Rivers;Sociology;Statistics,Quantification;rice production;rice production in Karnataka;yield gap;yield gap analysis,S. Thenmozhi; D. Uma; K. Vikram,"Dept. of MCA, PES Univ., Bangalore, India",2016 IEEE International Conference on Cloud Computing in Emerging Markets (CCEM),20170119,,,136,140,,Electronic:978-1-5090-4573-0; POD:978-1-5090-4574-7,10.1109/CCEM.2016.032,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7819685,crops;productivity;supply and demand,Karnataka district historical information;Karnataka regions;biophysical factors;climatic conditions;essential food crop supply and demand;food production;land availability;rice production;water resources;yield gap quantification,,,,,,,,19-21 Oct. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Data Ships: An Empirical Examination of Open (Closed) Data,2015,"As part of endorsing the open government data movement in many parts of the world, governments have worked to increase openness in actions where information technologies play a major role. Releasing public data was perceived by many governments and officials as a fundamental element to achieve transparency and accountability. Many studies have criticized this approach and illustrated that open government data does not necessarily lead to open government. Our study examines for the first time in a systematic, quantitative way the status of open government data in the US, by focusing on the disclosure of data by US federal agencies. Our findings suggest that most US federal agencies largely do not follow the open government policies of 2009 and 2013. The paper discusses the type of public data that is released, and analyzes the (non) strategy of its release.",Economics;Government policies;Information technology;Portals;Standards;Technological innovation,Disclosure;Information Assets;Open Government;Open Government Data;Transparency,K. Nahon; A. Peled,"Univ. of Washington, Seattle, WA, USA",2015 48th Hawaii International Conference on System Sciences,20150330,,,2209,2220,1530-1605;15301605,Electronic:978-1-4799-7367-5; POD:978-1-4799-7368-2,10.1109/HICSS.2015.264,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7070078,data analysis;government data processing,US federal agencies;accountability;closed government data examination;data analysis;data ship;open government data movement;open government policy;public data releasing;transparency,,0,,41,,,,5-8 Jan. 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
DIGO: An Open Data Architecture for e-Government,2011,"Currently most governing bodies publish their data on the World Wide Web (WWW). These data are available on e-Government Web Portals in unstructured formats using current Web languages, making them difficult to reuse and to generate new information. In this context, access to relevant, accurate public information, and possible reuse by other applications become increasingly complex. Open Government Data (OGD) means the publication of data in open raw formats (open data). There are tools to put open data on the WWW. However, this tools doesn't work with an architecture covering all aspects of data reuse. The aim of this paper is to show an architecture called Delivering Information of Government (DIGO) to allow access to primary data by machines in open data so that citizens interested in doing so can combine them (linked open data) and produce new information and mashup applications, consequently, enabling OGD and data fusion on the Linking Open Data (LOD) cloud.",Context;Data mining;Electronic government;Portals;Resource description framework;Semantics,e-Government;linked open data;ontologies;open data;open government data,A. L. Machado; J. M. Parente de Oliveira,"Divisao de Ciencia da Computacao (IEC), Instituto Tecnologico de Aeronautica (ITA), Sao Jose dos Campos, Brazil",2011 IEEE 15th International Enterprise Distributed Object Computing Conference Workshops,20111010,,,448,456,2325-6583;23256583,Electronic:978-0-7695-4426-7; POD:978-1-4577-0869-5,10.1109/EDOCW.2011.34,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6037649,Internet;cloud computing;data structures;government data processing;information retrieval;portals;sensor fusion,DIGO;Web languages;World Wide Web;data fusion;delivering information of government;e-government Web portals;linking open data cloud;open data architecture;open government data,,5,,24,,,,Aug. 29 2011-Sept. 2 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
A novel method to summarize and retrieve text documents using text feature extraction based on ontology,2016,"Data retrieval is a key process of acquiring information as per requirement. Now days, the necessity of proper information has increased. The most basic tools which provide this service are browser. It traverses the data as per user's query and gives the search results of all related information. Hence, it becomes a time consuming process to find required information. In this paper, the focus is done over content based data mining using ontology and text feature extraction. Content based data mining process focuses on domain of the data. Ontology, itself is a domain based data set information system that will help to achieve required data retrieval in a more appropriate way. The proposed systemuses k means clustering algorithm for creation of flat clusters. Flat clusters are the primary classification or clusters of data that are used for various further processing. For more appropriate data retrieval, this system uses text feature extraction algorithm. This algorithm will help to reduce the noisy data from data sets. A noise free data will help to perform better data retrieval process.",Algorithm design and analysis;Classification algorithms;Clustering algorithms;Data mining;Feature extraction;Noise measurement;Ontologies,Domain ontology;Feature extraction;Flat clusters;Text data;information retrieval,A. R. Patil; A. A. Manjrekar,"Computer science and technology department, Department of technology, Kolhapur, India","2016 IEEE International Conference on Recent Trends in Electronics, Information & Communication Technology (RTEICT)",20170109,,,1256,1260,,Electronic:978-1-5090-0774-5; POD:978-1-5090-0775-2,10.1109/RTEICT.2016.7808033,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7808033,data mining;feature extraction;information systems;online front-ends;ontologies (artificial intelligence);pattern classification;pattern clustering;query processing;text analysis,browser;content based data mining process;data retrieval;domain based data set information system;flat clusters;information acquisition;k means clustering algorithm;ontology;primary classification;text document retrieval;text document summarization;text feature extraction;user query,,,,,,,,20-21 May 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Application of decision tree for understanding Indian educational scenario,2016,"Education is one of the primary requirements for leading a good life. In India, still a large section of population is not educated, which makes them lag behind everyone. For overall development of our country, the citizens have to be educated and consequently employed. This paper analyses the most important factor that will result in the improved education level of our country, using data mining techniques.",Data mining;Decision trees;Government;Optimization;Sociology;Training,Classification;Decision Tree;Education;Literacy Rate,S. Ghosh; S. Shukla; D. Mehrotra,Amity University Uttar Pradesh,"2016 International Conference on Electrical, Electronics, and Optimization Techniques (ICEEOT)",20161124,,,4367,4372,,CD:978-1-4673-9936-4; DVD:978-1-4673-9937-1; Electronic:978-1-4673-9939-5; POD:978-1-4673-9940-1; USB:978-1-4673-9938-8,10.1109/ICEEOT.2016.7755543,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7755543,data mining;decision trees;education,Indian educational scenario;data mining technique;decision tree;educational level improvement,,,,,,,,3-5 March 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
A combinatorial approach for calculating rail-fly connectivity index in India based on fuzzy logic,2016,"Multi-modal transport is becoming prominent amongst Indian Passengers due to the advance of low-cost air travel, increasing disposable income and connectivity between rail, bus and air across various cities. Indian cities are classified across various tiers based on population and economic growth. In this paper, we propose to apply a model inspired by the gravity model to assess the connectivity potential for multi-mode transport with Rail and Air in India using unstructured and semi-structured data retrieved from various data sources. We have clustered the cities based on their proximity using service network design methodologies, empirical analysis of the datasets and applied the model to arrive at a weight-based approach for estimating a connectivity index between cities. There are challenges in proposing such models considering the diversity of Indian city characteristics like demographics, economy, growth potential, existing air and train connectivity, nature of activities like business, tourism, and other niche aspects. We have applied a novel approach using the fuzzy logic technique to calculate the weights of the identified characteristics and illustrated the index for few routes in western and southern clusters.",Atmospheric modeling;Fuzzy logic;Impedance;Indexes;Rails;Sociology;Urban areas,fuzzy logic;network;travel;unstructured data,H. B. Sankaranarayanan; P. V. Rukmangadha; T. Grosche,"Amadeus Software Labs, Bangalore, India",2016 Future Technologies Conference (FTC),20170119,,,150,155,,Electronic:978-1-5090-4171-8; POD:978-1-5090-4172-5,10.1109/FTC.2016.7821604,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7821604,estimation theory;fuzzy logic;graph theory;network theory (graphs);transportation,India;RFCI;combinatorial approach;connectivity index estimation;connectivity potential assessment;fuzzy logic;gravity model;multimodal transport;rail-fly connectivity index;service network design;weight-based approach,,,,,,,,6-7 Dec. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Data mining approach to analyse the road accidents in India,2016,"Despite all that has been done to promote Road Safety in India so far, there are always regions that fall prey to the vulnerabilities that linger on in every corner. The heterogeneity of these vulnerability-inducing causes leads to the need for an effective analysis so as to subdue the alarming figures by a significant amount. The objective of this paper is to have data mining to come to aid to create a model that not only smooths out the heterogeneity of the data by grouping similar objects together to find the accident prone areas in the country with respect to different accident-factors but also helps determine the association between these factors and casualties.",Analytical models;Data mining;Decision trees;Road accidents;Roads;Vehicles,Classification (Decision Tree);Cluster Analysis (K-Means);Cross Validation;Data Mining;Road Accidents,A. Jain; G. Ahuja; Anuranjana; D. Mehrotra,"Amity University, Uttar Pradesh, Noida, U.P. India","2016 5th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",20161219,,,175,179,,Electronic:978-1-5090-1489-7; POD:978-1-5090-1490-3,10.1109/ICRITO.2016.7784948,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7784948,data mining;decision trees;pattern classification;road accidents;road safety;traffic engineering computing,India;classification;data mining;decision tree;road accidents;road safety,,,,,,,,7-9 Sept. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Characterization of semi-synthetic dataset for big-data semantic analysis,2014,"Over the past decade, the use of semantic databases has served as the basis for storing and analyzing complex, heterogeneous, and irregular data. While there are similarities with traditional relational database systems, semantic data stores provide a rich platform for conducting non-traditional analyses of data. In support of new graph analytic algorithms and specialized graph analytic hardware, we have developed a large semi-synthetic, semantically rich dataset. The construction of this dataset mimics the real-world scenario of using relational databases as the basis for semantic data construction. In order to achieve real-world variable distributions and variable dependencies, data.gov data was used as the basis for developing an approach to build arbitrarily large semi-synthetic datasets. The intent of the semi-synthetic dataset is to serve as a testbed for new semantic graph analyses and computational software/hardware platforms. The construction process and basic data characterization is described. All code related to the data collection, consolidation, and augmentation are available for distribution.",Benchmark testing;Complexity theory;Data warehouses;Relational databases;Resource description framework;Semantics,RDF;big data;data.gov;graph computing;semantic representation,R. Techentin; D. Foti; S. Al-Saffar; P. Li; E. Daniel; B. Gilbert; D. Holmes,"Mayo Clinic College of Medicine, Rochester, MN, USA",2014 IEEE High Performance Extreme Computing Conference (HPEC),20150212,,,1,6,,Electronic:978-1-4799-6233-4; POD:978-1-4799-6234-1,10.1109/HPEC.2014.7040994,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7040994,Big Data;data analysis;relational databases;semantic Web,big-data semantic analysis;computational software-hardware platforms;data.gov data;graph analytic algorithms;relational database systems;semantic data construction;semantic databases;semantic graph analyses;semisynthetic dataset characterization;specialized graph analytic hardware,,0,,19,,,,9-11 Sept. 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
A semantic web platform for legal knowledge in cloud,2013,"The paper presents roGSEM (Romanian Governmental Semantic Portal), a platform able to provide access to legal open governmental data: normative documents published by the Romanian state. The proposed solution is based on Semantic Web technologies and uses the information according to the Linked Data initiative. Also, roGSEM semantic data repository can be used by independent plug-ins, encouraging developers to create and deploy innovative applications and mashups that give an improved access to existing legal knowledge.",Education;Law;Ontologies;Resource description framework;Semantics,,C. Gheorghiu; A. Panu; L. Alboaie,"Faculty of Computer Science, Alexandru Ioan Cuza University, Iasi, Romania","2013 IEEE 12th International Conference on Intelligent Software Methodologies, Tools and Techniques (SoMeT)",20131024,,,121,126,,Electronic:978-1-4799-0421-1; POD:978-1-4799-0418-1; USB:978-1-4799-0420-4,10.1109/SoMeT.2013.6645652,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6645652,cloud computing;government data processing;law;portals;semantic Web,Romanian governmental semantic portal;Romanian state;Semantic Web technologies;legal knowledge;legal open governmental data;roGSEM;semantic Web platform,,1,,19,,,,22-24 Sept. 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Parallel computing based iterative approach for the substantial weather forecasting,2016,"The need of computational environment and processing power increases per day due to the large amount of data generating real-time applications like e-Healthcare systems, manufacturing systems, e-Government sites, online shopping portals, social networking sites, and weather and agricultural forecasting applications. For the purpose of handling large data, and to find insights from such data, a platform with methodologies is mandatory. In this paper, we proposed a parallel computing based iterative approach to give the analytics and improve the performance of the system. We tested the approach on the historical data of weather published by Open Government Data Platform of India. The proposed system based approach are used to handle a large amount of data and capable of processing it on the parallel computing platform. The approach is used to forecast the results by applying different parameters present in the database. The main aim of the work is to reduce the execution time required and forecast the results. In this study, the experiments are tested on parallel computing workers and gives multiple of 100 times better performance than the single worker system.",Computational modeling;Forecasting;Iterative methods;Linear regression;Parallel processing;Prediction algorithms;Predictive models,Linear Regression;Parallel Computing;Weather Forecasting,M. R. Bendre; R. R. Manthalkar; V. R. Thool,"S.G.G.S. Institute of Engineering & Technology, Nanded - 431606 (MS), India",2016 International Conference on Signal and Information Processing (IConSIP),20170216,,,1,5,,Electronic:978-1-5090-1522-1; POD:978-1-5090-1523-8,10.1109/ICONSIP.2016.7857467,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7857467,data handling;geophysics computing;iterative methods;parallel processing;weather forecasting,India;agricultural forecasting application;data handling;e-government site;e-healthcare system;iterative approach;manufacturing system;online shopping portal;open government data platform;parallel computing;social networking site;weather forecasting,,,,,,,,6-8 Oct. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Spatio-temporal reasoning and decision support for smart energy systems,2016,"In this paper, we present an event handling framework for managing smart-grids and renewable energy installations: SmartSpace. Our framework aims at supporting decisions of human stakeholders, by providing adequate information to them. Different datasources feed into our framework and a variety of analysis and decision steps are supported. We are discussing potential data sources for decisions around smart energy systems and are focusing on spatio-temporal models of the involved data and operations to reason about them. Our models help to provide a semantic context for the data. Furthermore, we discuss the formalization of customized rules. Rules allow the specification of conditions under which information is provided to stakeholders. We exemplify our ideas and present our demonstrator which includes visualization capabilities.",Cognition;Collaboration;Context;Data visualization;Semantics;Smart grids;Stakeholders,collaboration solutions;decision support;distributed engineering;smart-grids;visualization,J. O. Blech; L. Fernando; K. Foster; G. Abhilash; S. Sudarsan,"RMIT University, Melbourne, Australia",2016 IEEE 21st International Conference on Emerging Technologies and Factory Automation (ETFA),20161107,,,1,8,,,10.1109/ETFA.2016.7733641,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7733641,energy management systems;renewable energy sources;smart power grids;spatiotemporal phenomena,SmartSpace;event handling framework;renewable energy installations;smart energy systems;smart grid management;spatiotemporal models,,,,,,,,6-9 Sept. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Multi-modal travel in India: A big data approach for policy analytics,2017,"Multi-modal travel is becoming prominent amongst Indian Passengers due to the advance of low-cost air travel, increasing disposable income, and connectivity by rail, bus, and air across various cities. This is a huge opportunity for all stakeholders within transport sector like Rail, Aviation, and Surface transport to operate seamlessly to boost domestic transportation and ultimately offer passengers the best of breed travel solution. In this paper, we will propose a framework for policy analytics for Rail and Air connectivity and discuss how big data can play a key role to analyze the existing datasets like routes, schedules, booking information, benchmark studies, economic characteristics, and passenger demographics. Big data tools are very useful in processing unstructured data sets by analyzing them and providing meaningful visualizations. Policy analytics can combine the power of information technology, operations research, statistical modeling and machine learning to modernize and equip policy makers for better data-driven decisions while drafting policies. This would ultimately enable Government's vision on smart cities, seamless transport hubs, and interchanges that provide seamless connectivity and high passenger satisfaction.",Big Data;Data visualization;Engines;Rail transportation;Rails;Schedules;Urban areas,big data;government;policy analytics;travel,H. B. Sankaranarayanan; R. S. Thind,"Amadeus Software Labs, Bangalore, India","2017 7th International Conference on Cloud Computing, Data Science & Engineering - Confluence",20170608,,,243,248,,CD:978-1-5090-3518-2; Electronic:978-1-5090-3519-9; POD:978-1-5090-3520-5,10.1109/CONFLUENCE.2017.7943157,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943157,Big Data;air traffic;government data processing;rail traffic,Big Data approach;Indian passengers;air connectivity;benchmark studies;booking information;economic characteristics;multimodal travel;passenger demographics;policy analytics;rail connectivity;route schedules;transport sector;unstructured data sets processing,,,,,,,,12-13 Jan. 2017,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Visual Bayesian fusion to navigate a data lake,2016,"The evolution from traditional business intelligence to big data analytics has witnessed the emergence of `Data Lakes' in which data is ingested in raw form rather than into traditional data warehouses. With the increasing availability of many more pieces of information about each entity of interest, e.g., a customer, often from diverse sources (social-media, mobility, internet-of-things), fusing, visualizing and deriving insights from such data pose a number of challenges: First, disparate datasets often lack a natural join key. Next, datasets may describe measures at different levels of granularity, e.g., individual vs. aggregate data, and finally, different datasets may be derived from physically distinct populations. Moreover, once data has been fused, queries are often an inefficient and inaccurate mechanism to derive insight from high-dimensional data. In this paper we describe iFuse, a data-fusion based visual analytics platform for navigating a data lake to derive insights. We rely on Bayesian graphical models to provide useful rudder with which to fuse and analyze disparate islands of data in a systematic manner. Our platform allows for rich interactive visualizations, querying and keyword-based search within and across datasets or models, as well as intuitive visual interfaces for value-imputation or model-based predictions. We illustrate the use of our platform in multiple scenarios, including two public data challenges as well as a real-life industry use-case involving the probabilistic fusion of datasets that lack a natural join-key.",Bayes methods;Context;Data visualization;Diseases;Lakes;Navigation;Probabilistic logic,,K. Singh; K. Paneri; A. Pandey; G. Gupta; G. Sharma; P. Agarwal; G. Shroff,"TCS Research, Tata Consultancy Service Ltd., Gurgaon India",2016 19th International Conference on Information Fusion (FUSION),20160804,,,987,994,,Electronic:978-0-9964-5274-8; POD:978-1-5090-2012-6,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7527993,Bayes methods;Big Data;data aggregation;data analysis;data visualisation;sensor fusion,Bayesian graphical models;aggregate data;big data analytics;data fusion based visual analytics platform;data lake navigation;iFuse;interactive data visualizations;intuitive visual interfaces;keyword-based search;model-based predictions;natural join key;probabilistic data fusion;querying;value-imputation;visual Bayesian fusion,,,,,,,,5-8 July 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Towards an Open Data Development Model for Linking Heterogeneous Data Sources,2015,"Open data is providing opportunities as well as challenges for research and development in the field of knowledge and systems engineering. The prospects for both researchers and application developers accessing and integrating publicly available data from various sources are unprecedented. However, many open data platforms are built in such a way that it is difficult or, sometimes, impossible to extract value from the data, integrate data from various sources, transform or improve the quality of the data through continuous use and reuse, track provenance, and share research findings. In this paper we present open data development model (ODDM) that addresses some these difficulties. The model shows how various stakeholders can check-out data from an open data repository, use and reuse the data, add new functionalities, appraise, transform, and publish or check-in the improved data for other researchers to benefit. We discuss how we intend to apply the model in practice to build a new generation of open data repository for interdisciplinary research, and highlight key issues for debate and discussion.",Computational modeling;Data mining;Data models;Government;Joining processes;Sensors,Big data;Cloud computing;Data repositories;Open data;Open data model,S. K. Sowe; K. Zettsu,"NICT, Inf. Services Platform Lab., Kyoto, Japan",2015 Seventh International Conference on Knowledge and Systems Engineering (KSE),20160107,,,344,347,,Electronic:978-1-4673-8013-3; POD:978-1-4673-8014-0,10.1109/KSE.2015.56,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7371810,Big Data;distributed databases;open systems;research and development,ODDM;heterogeneous data sources;interdisciplinary research;knowledge engineering;open data development model;open data platforms;open data repository;research and development;systems engineering,,,,18,,,,8-10 Oct. 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Apply Deep Learning Neural Network to Forecast Number of Tourists,2017,"Forecasting visitor arrivals is of great importance since it is an indicator of the tourism demand and can serve as the reference for the government policies about tourism and the business strategies of tourism industries. So an accurate forecasting model must be developed. There are two machine learning algorithms, including support vector machine and neural network, which are include in the comparison with deep learning applied neural network with feature selection. In this study, we choose to use exponential linear units (ELUs) as the activation function and stochastic gradient descent (SGD) as the optimizer. Despite of the fact that three of the models have a mean absolute percentage error (MAPE) less than 10%, deep learning applied neural network with feature selection attain the best testing accuracy of 2.05%. Also, with the usage of appropriate activation and optimizer, the training epoches needed is reduced dramatically.",Biological neural networks;Forecasting;Machine learning;Neurons;Predictive models;Support vector machines,and tourist;deep learning;forecasting,Y. W. Chang; C. Y. Tsai,"Dept. of Eng. Sci. & Ocean Eng., Nat. Taiwan Univ., Taipei, Taiwan",2017 31st International Conference on Advanced Information Networking and Applications Workshops (WAINA),20170518,,,259,264,,Electronic:978-1-5090-6231-7; POD:978-1-5090-6232-4,10.1109/WAINA.2017.125,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7929687,feature selection;learning (artificial intelligence);neural nets;support vector machines;travel industry,ELU;MAPE;SGD;activation function;business strategies;deep learning neural network;exponential linear units;feature selection;forecasting model;government policies;machine learning algorithms;mean absolute percentage error;stochastic gradient descent;support vector machine;tourism demand;tourism industries;tourists;visitor arrivals forecasting,,,,,,,,27-29 March 2017,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Provenance-Based Debugging and Drill-Down in Data-Oriented Workflows,2012,"Panda (for Provenance and Data), a system for data-oriented workflows that supports debugging and drill-down using logical provenance-provenance information stored at the processing-node level is demonstrated. In this demonstration, Panda is used to integrate, process, and analyze actual education data from multiple sources.",Data mining;Debugging;Educational institutions;Electronic publishing;Graphical user interfaces;Information services,,R. Ikeda; J. Cho; C. Fang; S. Salihoglu; S. Torikai; J. Widom,,2012 IEEE 28th International Conference on Data Engineering,20120702,,,1249,1252,1063-6382;10636382,Electronic:978-0-7695-4747-3; POD:978-1-4673-0042-1,10.1109/ICDE.2012.118,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6228180,data analysis;data integration;educational administrative data processing;program debugging,Panda;data drill-down;data integration;data processing;data-oriented workflows;education data analysis;logical provenance-provenance information storage;processing-node level;provenance and data;provenance-based debugging,,3,,16,,,,1-5 April 2012,,IEEE,IEEE Conference Publications,,,,,,,,,,,
A Rule-Based Decision Support System in Intelligent Hazmat Transportation System,2015,"This paper develops a new rule-based decision support system (RB-DSS) to find the safest solutions for routing, scheduling, and assignment in Hazmat transportation management. To define the safe program in RB-DSS, the accident frequency and severity are estimated for different scenarios of transportation, and they are used to classify the scenarios by a new structure of decision tree (DT), which is proposed to select branching variables at the primary levels according to the experts' perception. The outputs of the DT are stated in the form of if-then rules trained by a multilayer perceptron neural network to generalize the safe programs for Hazmat transportation. To illustrate the performance of this approach, the UK road accident data set is used.",Accidents;Databases;Hazardous materials;Roads;Routing;Vehicles,Commercial vehicle operation;hazardous material transportation;risk assessment;rule generalization,R. Asadi; M. Ghatee,"Dept. of Comput. Sci., Amirkabir Univ. of Technol., Tehran, Iran",IEEE Transactions on Intelligent Transportation Systems,20150925,16,5,2756,2764,1524-9050;15249050,,10.1109/TITS.2015.2420993,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7097030,decision support systems;decision trees;feature selection;intelligent transportation systems;knowledge based systems;multilayer perceptrons;road accidents,DT;Hazmat transportation management;RB-DSS;UK road accident data set;branching variable selection;decision tree;intelligent Hazmat transportation system;multilayer perceptron neural network;rule-based decision support system,,1,,36,,,20150428,Oct. 2015,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
