,Publication Title,All Science Classification Codes (ASJC),Item Title,Publication Year,in/out,use types,census,notes
277,Education 3-13,3319; 3304; ,Understanding and enhancing pupils鈥?learning progress in schools in deprived communities,2016,in,Providing study background,,
278,Educational Policy,3304; ,Large-Scale Assessment and English Language Learners With Disabilities,2017,in,Providing study background,,
279,Educational Psychology,3204; 3304; 3205; ,Classroom management practices and their associations with children鈥檚 mathematics skills in two cultural groups,2016,in,Providing study background,,
280,Educational Psychology in Practice,3204; ,Foucauldian Iterative Learning Conversations - an example of organisational change: developing conjoint-work between EPs and Social Workers,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
281,Electricity Journal,3308; 1405; 2101; 1403; ,Ripe for retirement: An economic analysis of the U.S. coal fleet,2013,in,main data source for new analysis,,
282,Electronic Journal of Information Systems in Developing Countries,1710; ,E-learning in Kenyan universities: Preconditions for successful implementation,2015,in,Providing study background,,
283,Electronic Journal of Information Systems in Developing Countries,1710; ,Putting a MOOC for human rights in the hands of Kenyans: The Haki Zangu case for non-formal learning,2014,in,"used for result evaluation (e.g., as ground truth)",,
285,Elektronika ir Elektrotechnika,2208; ,Demand side management in small power systems - The Estonian case study,2016,in,main data source for new analysis,,
286,Emergency Medicine Journal,2706; 2700; 2711; ,Do difficulties in accessing in-hours primary care predict higher use of out-of-hours GP services? Evidence from an English National Patient Survey,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
287,Emergency Medicine Journal,2706; 2700; 2711; ,How do clinicians with different training backgrounds manage walk-in patients in the ED setting?,2014,in,Providing study background,,
288,Emergency Medicine Journal,2706; 2700; 2711; ,Is the case-mix of patients who self-present to ED similar to general practice and other acute-care facilities?,2014,in,Providing study background,,
289,Emerging Infectious Diseases,2725; 2726; 2713; ,"Babesiosis among elderly medicare beneficiaries, United States, 2006-2008",2012,in,aiding result interpreting,,
290,Endocrinologia y Nutricion,1310; 2712; ,Healthcare costs of people with type 2 diabetes mellitus in the Basque Country (Spain) [Costes sanitarios de la poblaci贸n con diabetes mellitus tipo 2 en el Pa铆s Vasco (Espa帽a)],2016,in,"ancillary data source for new analysis (e.g., as base map)",,
291,Energies,1700; ,Techno-economic investigation of solar powered electric auto-rickshaw for a sustainable transport system,2017,in,Providing study background,,
292,Energies,1700; ,"Assessment of the Agronomic Feasibility of Bioenergy Crop Cultivation on Marginal and Polluted Land: A GIS-Based Suitability Study from the Sulcis Area, Italy",2016,in,main data source for new analysis,,
293,Energies,1700; ,Real-time velocity optimization to minimize energy use in passenger vehicles,2017,in,main data source for new analysis,,
294,Energies,1700; ,A statistical framework for automatic leakage detection in smart water and gas grids,2016,in,main data source for new analysis,,
295,Energies,1700; ,A novel geographical information systems framework to characterize photovoltaic deployment in the UK: Initial evidence,2016,in,main data source for new analysis,,
296,Energy,2100; 2310; ,Feasibility study of using a biogas engine as backup in a decentralized hybrid (PV/wind/battery) power generation system - Case study Kenya,2015,in,main data source for new analysis,,
298,Energy and Buildings,2208; 2210; 2215; 2205; ,A GIS domestic building framework to estimate energy end-use demand in UK sub-city areas,2015,in,aiding result interpreting,,
299,Energy Conversion and Management,2102; 2103; 2104; 2105; ,Exergy optimization of cooling tower for HGSHP and HVAC applications,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
300,Energy Conversion and Management,2102; 2103; 2104; 2105; ,Process intensification and integration of solar heat generation in the Chinese condiment sector - A case study of a medium sized Beijing based factory,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
301,Energy Conversion and Management,2102; 2103; 2104; 2105; ,Impact of the operation of non-displaced feedwater heaters on the performance of Solar Aided Power Generation plants,2017,in,main data source for new analysis,,
302,Energy Conversion and Management,2102; 2103; 2104; 2105; ,The performance of a Solar Aided Power Generation plant with diverse 鈥渃onfiguration-operation鈥?combinations,2016,in,main data source for new analysis,,
303,Energy Policy,2308; 2100; ,Assessment of interstate freight vehicle characteristics and impact of future emission and fuel economy standards on their emissions in India,2017,in,Providing study background,,
304,Energy Policy,2308; 2100; ,Analysing the usage and evidencing the importance of fast chargers for the adoption of battery electric vehicles,2017,in,"ancillary data source for new analysis (e.g., as base map)",,multi sources
305,Energy Policy,2308; 2100; ,Identifying policy solutions for improving the energy efficiency of rental properties,2017,in,aiding result interpreting,,
306,Energy Policy,2308; 2100; ,Lignocellulosic ethanol production from woody biomass: The impact of facility siting on competitiveness,2013,in,main data source for new analysis,,
307,Energy Policy,2308; 2100; ,The significance of regulation and land use patterns on natural gas resource estimates in the Marcellus shale,2012,in,main data source for new analysis,,
309,Energy Strategy Reviews,2101; ,"Strategy of bioenergy development in the largest energy consumers of Asia (China, India, Japan and South Korea)",2015,in,main data source for new analysis,y,
310,Engineering Applications of Artificial Intelligence,2208; 1702; 2207; ,Spectral clustering for sensing urban land use using Twitter activity,2014,in,"used for result evaluation (e.g., as ground truth)",,mutli-source
311,Engineering Geology,1907; 1909; ,Geotechnical characterization of Estonian oil shale semi-coke deposits with prime emphasis on their shear strength,2012,in,Providing study background,,
312,Environment and Planning A,2301; 3305; ,Taking the tyke on a bike: Mothers鈥?and childless women鈥檚 space鈥搕ime geographies in Amsterdam compared,2015,in,aiding result interpreting,,multi-source
313,Environment and Planning A,2301; 3305; ,The symbolic politics of gentrification: The restructuring of stigmatized neighborhoods in Amsterdam and Istanbul,2014,in,Providing study background,,
314,Environment and Planning A,2301; 3305; ,Neighbourhood effects on youth educational achievement in the Netherlands: Can effects be identified and do they vary by student background characteristics?,2009,in,Providing study background,,
316,Environment and Planning C: Government and Policy,2308; 3321; 2301; 3305; ,Symbolic or substantive policy? Measuring the extent of local commitment to climate protection,2011,in,main data source for new analysis,,
317,Environment International,2300; ,Environmental exposure to pesticides and the risk of Parkinson's disease in the Netherlands,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
318,Environment International,2300; ,Environmental and health disparities in residential communities of New Orleans: The need for soil lead intervention to advance primary prevention,2013,in,aiding result interpreting,,
319,Environment International,2300; ,The association between air pollution and type 2 diabetes in a large cross-sectional study in Leicester: The CHAMPIONS Study,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
320,Environment International,2300; ,Mortality and emergency hospitalizations associated with atmospheric particulate matter episodes across the UK in spring 2014,2016,in,main data source for new analysis,,
321,Environment International,2300; ,Human recreational exposure to antibiotic resistant bacteria in coastal bathing waters,2015,in,main data source for new analysis,,
322,Environment International,2300; ,Impact of large industrial emission sources on mortality and morbidity in Chile: A small-areas study,2016,in,main data source for new analysis,,
323,"Environment, Development and Sustainability",2308; 2002; 3305; ,Inequality in water supply in India: an assessment using the Gini and Theil indices,2017,in,main data source for new analysis,,
324,Environmental Earth Sciences,1904; 1907; 2310; 1111; 2312; 2304; 2306; ,"Hydrogeochemical processes and contaminants enrichment with special emphasis on fluoride in groundwater of Birbhum district, West Bengal, India",2017,in,Providing study background,,
325,Environmental Earth Sciences,1904; 1907; 2310; 1111; 2312; 2304; 2306; ,Effects of intertidal reclamation on tides and potential environmental risks: a numerical study for the southern Yellow Sea,2016,in,Providing study background,,
326,Environmental Health: A Global Access Science Source,2307; 2739; ,Spatiotemporal exposure modeling of ambient erythemal ultraviolet radiation,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
327,Environmental Management,2310; 2303; 2306; ,Energy Development in Colorado鈥檚 Pawnee National Grasslands: Mapping and Measuring the Disturbance Footprint of Renewables and Non-Renewables,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
328,Environmental Management,2310; 2303; 2306; ,The potential role for management of U.S. Public lands in greenhouse gas mitigation and climate policy,2012,in,others,,
329,Environmental Management,2310; 2303; 2306; ,"An ecology of prestige in New York City: Examining the relationships among population density, socio-economic status, group identity, and residential canopy cover",2014,in,"ancillary data source for new analysis (e.g., as base map)",,
331,Environmental Modelling and Software,2302; 2305; 1712; ,Identifying model consistency through stepwise calibration to capture streamflow variability,2016,in,Providing study background,,
332,Environmental Monitoring and Assessment,2308; 2310; 2300; 2700; ,"Fluoride-contaminated groundwater of Birbhum district, West Bengal, India: Interpretation of drinking and irrigation suitability and major geochemical processes using principal component analysis",2017,in,"ancillary data source for new analysis (e.g., as base map)",,
333,Environmental Monitoring and Assessment,2308; 2310; 2300; 2700; ,"Fifty-year spatiotemporal analysis of landscape changes in the Mont Saint-Hilaire UNESCO Biosphere Reserve (Quebec, Canada)",2017,in,Providing study background,,
334,Environmental Monitoring and Assessment,2308; 2310; 2300; 2700; ,"Pre-mining trace element and radiation exposure to biota from a breccia pipe uranium mine in the Grand Canyon (Arizona, USA) watershed",2017,in,aiding result interpreting,,
335,Environmental Monitoring and Assessment,2308; 2310; 2300; 2700; ,Influence of volcanic activity and anthropic impact in the trace element contents of fishes from the North Patagonia in a global context,2015,in,aiding result interpreting,,research data resue
336,Environmental Monitoring and Assessment,2308; 2310; 2300; 2700; ,"Multi-element composition of soils of seasonal wetlands across North Dakota, USA",2015,in,"ancillary data source for new analysis (e.g., as base map)",,
337,Environmental Pollution,2307; 2310; 3005; 2700; ,International scale implementation of the CNOSSOS-EU road traffic noise prediction model for epidemiological studies,2015,in,main data source for new analysis,,
338,Environmental Pollution,2307; 2310; 3005; 2700; ,Atmospheric mercury deposition to forests in the eastern USA,2017,in,main data source for new analysis,,
339,Environmental Practice,2308; 3305; ,Research article: GPI Island style: Localizing the genuine progress indicator to Hawaii,2014,in,main data source for new analysis,,
340,Environmental Research,2300; 1303; ,Childhood lead exposure and sexually transmitted infections: New evidence,2015,in,main data source for new analysis,,
341,Environmental Research Letters,2739; 2300; 2105; ,Are high penetrations of commercial cogeneration good for society?,2016,in,main data source for new analysis,,
342,Environmental Science and Policy,2308; 3305; ,The potential to reduce the risk of diffuse pollution from agriculture while improving economic performance at farm level,2013,in,Providing study background,,
343,Environmental Science and Policy,2308; 3305; ,IMPASEA: A methodological framework to monitor and assess the socioeconomic effects of marine protected areas. An English Channel case study,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
344,Environmental Science and Pollution Research,2307; 2310; 2304; 2700; ,Impacts of population growth and economic development on water quality of a lake: Case study of Lake Victoria Kenya water,2014,in,Providing study background,,
345,Environmental Science and Pollution Research,2307; 2310; 2304; 2700; ,Characteristic variation and original analysis of emergent water source pollution accidents in China between 1985 and 2013,2016,in,Providing study background,,
346,Environmental Science and Pollution Research,2307; 2310; 2304; 2700; ,Tropospheric ozone pollution in India: effects on crop yield and product quality,2017,in,Providing study background,,
347,Environmetrics,2302; 2613; ,Wildfire risk estimation in the Mediterranean area,2014,in,main data source for new analysis,,
348,Epilepsia,2728; 2808; ,Epilepsy prevalence and socioeconomic deprivation in England,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
349,EPJ Data Science,2605; 1706; 2611; ,Unveiling patterns of international communities in a global city using mobile phone data,2015,in,"used for result evaluation (e.g., as ground truth)",,
350,EPJ Data Science,2605; 1706; 2611; ,Quantifying decision making for data science: from data acquisition to modeling,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
351,Estuaries and Coasts,2303; 1104; 1105; ,Quantification of Storm-Induced Bathymetric Change in a Back-Barrier Estuary,2017,in,main data source for new analysis,,
352,Estuaries and Coasts,2303; 1104; 1105; ,"The Importance of Regional, System-Wide and Local Spatial Scales in Structuring Temperate Estuarine Fish Communities",2014,in,aiding result interpreting,,
353,Ethnic and Racial Studies,3312; 3314; 3316; ,Diverse cities and good citizenship: how local governments in the Netherlands recast national integration discourse,2015,in,Providing study background,,
354,Ethnicity and Health,2739; 1201; 3316; ,Is channel segmentation necessary to reach a multiethnic population with weight-related health promotion? An analysis of use and perception of communication channels,2015,in,aiding result interpreting,,
355,Eurasian Geography and Economics,2002; 3305; ,Russians in Estonia: Is Narva the next Crimea?,2015,in,Providing study background,,
356,Eurasian Geography and Economics,2002; 3305; ,Exchange rate policy and economic growth after the financial crisis in Central and Eastern Europe,2011,in,main data source for new analysis,,
357,Eurasian Geography and Economics,2002; 3305; ,The global economic crisis and regional divides in the European union: Spatial patterns of unemployment in Estonia and Poland,2010,in,main data source for new analysis,,
358,Eurasian Soil Science,1904; 1111; ,Technologies and standards in the information systems of the soil-geographic database of Russia,2015,in,Providing study background,,
359,European Journal of Clinical Nutrition,2916; 2701; ,Development of the HELIUS food frequency questionnaires: Ethnic-specific questionnaires to assess the diet of a multiethnic population in the Netherlands,2015,in,Providing study background,,
360,European Journal of Contraception and Reproductive Health Care,2736; 2729; 2743; ,"Youth sexual health improvement in Estonia, 19902009: The role of sexuality education and youth-friendly services",2012,in,Providing study background,,
361,European Journal of Contraception and Reproductive Health Care,2736; 2729; 2743; ,Experiences of women who travel to England for abortions: an exploratory pilot study,2016,in,aiding result interpreting,,
362,European Journal of Emergency Medicine,2711; ,Characteristics of people who rapidly and frequently reattend the emergency department for mental health needs,2016,in,Providing study background,,
363,European Journal of Neurology,2728; 2808; ,The societal cost of Huntington's disease: are we underestimating the burden?,2016,in,main data source for new analysis,,
364,European Journal of Pediatrics,2735; ,Vitamin D deficiency among native Dutch and first- and second-generation non-Western immigrants,2014,in,aiding result interpreting,,
365,European Journal of Public Health,2739; ,"Do sexual risk behaviour, risk perception and testing behaviour differ across generations of migrants?",2013,in,Providing study background,,
366,European Journal of Public Health,2739; ,Ethnic differences in self-rated overweight and association with reporting weight loss action: The SUNSET study,2012,in,Providing study background,,
367,European Journal of Public Health,2739; ,Place of residence predicts breast cancer stage at diagnosis in Estonia,2011,in,aiding result interpreting,,
368,European Journal of Surgical Oncology,2730; 2700; 2746; ,Skin reducing mastectomy and immediate reconstruction: The effect of radiotherapy on complications and patient reported outcomes,2014,in,aiding result interpreting,,
369,European Journal of Transport and Infrastructure Research,3322; 3313; 3305; ,Causal effects of built environment characteristics on travel behaviour: A longitudinal approach,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
370,European Journal of Wildlife Research,2308; 2309; 1105; ,Current and future effectiveness of Natura 2000 network in the central Alps for the conservation of mountain forest owl species in a warming climate,2015,in,main data source for new analysis,,used land use map
371,European Planning Studies,3305; ,"Variety of Urban Tourism Development Trajectories: Antalya, Amsterdam and Liverpool Compared",2012,in,main data source for new analysis,,
372,European Planning Studies,3305; ,Towards Energy-neutral New Housing Developments. Municipal Climate Governance in The Netherlands,2012,in,Providing study background,,
373,European Research in Telemedicine,3605; 2718; ,The place of personalised medical e-consultancy in the practice of telemedicine,2015,in,others,,
374,European Transport Research Review,2210; 3313; 2203; ,"Fuel consumption optimization in air transport: a review, classification, critique, simple meta-analysis, and future research implications",2015,in,main data source for new analysis,,
375,Eurosurveillance,2406; 2739; 2713; ,"Internet-based recruitment system for HIV and STI screening for men who have sex with men in Estonia, 2013: Analysis of preliminary outcomes",2015,in,Providing study background,,
377,Exchange,1212; ,Encounters between christian and muslim women in the Netherlands,2010,in,Providing study background,,
378,Familial Cancer,1306; 2716; 2730; 1311; ,BRCA testing within the Department of Veterans Affairs: concordance with clinical practice guidelines,2017,in,main data source for new analysis,,
379,Feminist Economics,2002; 1201; 1400; 3318; ,"Sex, Deportation and Rescue: Economies of Migration among Nigerian Sex Workers",2017,in,Providing study background,,
380,Fiscal Studies,2002; 2003; 1402; ,Is UK vice chancellor pay justified by university performance?,2015,in,Providing study background,,
381,Food Control,1106; 1305; ,Stable isotope ratio analysis in determining the geographical traceability of Indian wheat,2017,in,main data source for new analysis,,
382,Forest Ecology and Management,2308; 2309; 1107; ,"Spatial distribution of forest biomass in Brazil's state of Roraima, northern Amazonia",2016,in,main data source for new analysis,,
383,Forest Policy and Economics,2308; 2002; 3312; 1107; ,The potential rural development impacts of utilizing non-merchantable forest biomass,2017,in,Providing study background,,
384,Forestry,1107; ,A new approach to assessing the risk to woodland from pest and diseases,2017,in,Providing study background,,
385,Freshwater Biology,1104; ,Movers and shakers: Nutrient subsidies and benthic disturbance predict biofilm biomass and stable isotope signatures in coastal streams,2014,in,main data source for new analysis,,
386,Freshwater Science,1104; 2303; 1105; ,The impact of fire on riparian vegetation in Australia's tropical savanna,2015,in,Providing study background,,
387,Freshwater Science,1104; 2303; 1105; ,"Interactive effects of urban stormwater drainage, land clearance, and flow regime on stream macroinvertebrate assemblages across a large metropolitan region",2016,in,main data source for new analysis,,
388,Freshwater Science,1104; 2303; 1105; ,Fire and flood expand the floodplain shifting habitat mosaic concept,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
389,Frontiers in Energy,2102; ,Comparative study of energy consumption and CO2 emissions between Beijing and London,2013,in,others,,use OGD to support a claim
390,Frontiers in Pharmacology,2736; 3004; ,"Consumer willingness to pay for dengue vaccine (CYD-TDV, Dengvaxia庐) in Brazil; implications for future pricing considerations",2017,in,Providing study background,,
391,Frontiers in Plant Science,1110; ,Integrating high resolution water footprint and GIS for promoting water efficiency in the agricultural sector: A case study of plantation crops in the Jordan Valley,2016,in,main data source for new analysis,,
392,GCB Bioenergy,2311; 1102; 2105; 1107; ,Spatial mapping of building energy demand in Great Britain,2014,in,main data source for new analysis,,
393,Genetic Resources and Crop Evolution,1110; 1311; 1102; 1105; ,Macadamia domestication in Hawai鈥榠,2016,in,Providing study background,,changed to background from main source after discussion
394,Genetics in Medicine,2716; ,Modeling the prevention of colorectal cancer from the combined impact of host and behavioral risk factors,2017,in,main data source for new analysis,,
395,"Geochemistry, Geophysics, Geosystems",1906; 1908; ,"San Andreas Fault dip, Peninsular Ranges mafic lower crust and partial melt in the Salton Trough, Southern California, from ambient-noise tomography",2015,in,"ancillary data source for new analysis (e.g., as base map)",,
397,Geoderma,1111; ,Organic carbon stocks in agricultural soils in Ireland using combined empirical and GIS approaches,2013,in,main data source for new analysis,,
398,Geoderma,1111; ,Machine learning for predicting soil classes in three semi-arid landscapes,2015,in,main data source for new analysis,,
399,GeoInformatica,3305; 1710; ,Discovering historic traffic-tolerant paths in road networks,2017,in,main data source for new analysis,,
400,Geomorphology,1904; ,"The paraglacial geomorphology of the Fraser Lowland, southwest British Columbia and northwest Washington",2015,in,"ancillary data source for new analysis (e.g., as base map)",,multi-source
401,Geomorphology,1904; ,Fire impact on soil-water repellency and functioning of semi-arid croplands and rangelands: Implications for prescribed burnings and wildfires,2017,in,Providing study background,,
402,Geothermal Energy,1905; 1909; 2105; ,Assessment of the resource base for engineered geothermal systems in Great Britain,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
403,Global and Planetary Change,1910; 2306; ,Mid to late Holocene environmental changes along the coast of western Sardinia (Mediterranean Sea),2017,in,main data source for new analysis,,
404,Global Ecology and Biogeography,2303; 1105; 2306; ,Dissecting global turnover in vascular plants,2017,in,Creating a composite dataset,,
405,Global Environmental Change,2308; 2303; 3305; 2306; ,"Floods and livelihoods: The impact of changing water resources on wetland agro-ecological production systems in the Tana River Delta, Kenya",2013,in,Providing study background,,
406,Global Environmental Change,2308; 2303; 3305; 2306; ,"Not all low-carbon energy pathways are environmentally ""no-regrets"" options",2015,in,Providing study background,,multi-source
407,Global Environmental Change,2308; 2303; 3305; 2306; ,A spatial typology of human settlements and their CO<inf>2</inf> emissions in England,2015,in,main data source for new analysis,,
408,Global Environmental Change,2308; 2303; 3305; 2306; ,"Transforming barriers into enablers of action on climate change: Insights from three municipal case studies in British Columbia, Canada",2010,in,Providing study background,,
409,GMS German Medical Science,2700; ,Diagnosis-related groups in hand surgery - A comparison of six european countries [Fallpauschalen in der handchirurgie - Ein vergleich von sechs europ盲ischen l盲ndern],2012,in,"ancillary data source for new analysis (e.g., as base map)",,
410,Grey Journal,3309; ,The grey system for monitoring self-funded research,2010,in,Providing study background,,
411,Group Processes and Intergroup Relations,3312; 1201; 3315; 3316; 3207; ,Fostering diverse friendships: The role of beliefs about the value of diversity,2015,in,main data source for new analysis,y,
413,Halduskultuur,3321; ,Market liberalization and innovation in the energy sector: The case of Belgium and the Netherlands,2015,in,others,,
414,Harm Reduction Journal,2738; 2739; 2701; ,Orienting patients to greater opioid safety: Models of community pharmacy-based naloxone,2015,in,main data source for new analysis,,
415,Health Affairs,2719; ,The care span: Complex medicare advantage choices may overwhelm seniors- especially those with impaired decision making,2011,in,main data source for new analysis,,
416,Health and Place,2739; 3305; 3306; ,Influences on body weight of female Moroccan migrants in the Netherlands: A qualitative study,2012,in,Providing study background,,
417,Health and Place,2739; 3305; 3306; ,A geography of moral hazard: Sources and sinks of motor-vehicle commuting externalities,2014,in,"used for result evaluation (e.g., as ground truth)",,
418,Health and Place,2739; 3305; 3306; ,"Neighborhood socioeconomic deprivation, perceived neighborhood factors, and cortisol responses to induced stress among healthy adults",2014,in,"ancillary data source for new analysis (e.g., as base map)",,
419,Health and Place,2739; 3305; 3306; ,What can local authorities do to improve the social care-related quality of life of older adults living at home? Evidence from the Adult Social Care Survey,2014,in,main data source for new analysis,,
420,Health and Place,2739; 3305; 3306; ,A common spatial factor analysis model for measured neighborhood-level characteristics: The Multi-Ethnic Study of Atherosclerosis,2015,in,main data source for new analysis,,
421,Health and Place,2739; 3305; 3306; ,Cigarette price variation around high schools: Evidence from Washington DC,2015,in,main data source for new analysis,,
422,Health and Social Care in the Community,2739; 2719; 3312; 3301; ,Evaluation of the signalling and referral system for households at risk of eviction in Amsterdam,2009,in,Providing study background,,
423,Health Care for Women International,3600; ,Influence of Distance to Health Facilities on the Use of Skilled Attendants at Birth in Kenya,2016,in,main data source for new analysis,,
424,Health Care for Women International,3600; ,Exercise as an adjunct treatment for postpartum depression for women living in an inner city鈥擜 pilot study,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
425,Health Education,2739; 3304; ,Developing teenagers' views on their health and the health of their future children,2012,in,"ancillary data source for new analysis (e.g., as base map)",,
427,Health Physics,2307; 2741; 2713; ,Enhanced analysis methods to derive the spatial distribution of 131I deposition on the ground by airborne surveys at an early stage after the fukushima daiichi nuclear power plant accident,2013,,,,
428,Health Services and Outcomes Research Methodology,2739; 2719; ,Area variations in multiple morbidity using a life table methodology,2016,in,Providing study background,,
429,Health Technology Assessment,2719; ,Barriers to and facilitators of smoking cessation in pregnancy and following childbirth: Literature review and qualitative study,2017,in,Providing study background,,
430,Health Technology Assessment,2719; ,An evaluation of the effect of an angiotensin-converting enzyme inhibitor on the growth rate of small abdominal aortic aneurysms: A randomised placebo-controlled trial (AARDVARK),2016,in,"ancillary data source for new analysis (e.g., as base map)",,
431,Health Technology Assessment,2719; ,Clinical effectiveness and cost-effectiveness of collaborative care for depression in UK primary care (CADET): A cluster randomised controlled trial,2016,in,main data source for new analysis,,
432,Hepatology,2721; ,Toward a more accurate estimate of the prevalence of hepatitis C in the United States,2015,in,Providing study background,,
433,Housing Studies,3322; 3312; 2301; ,Gentrifiers settling down? patterns and trends of residential location of middle-class families in Amsterdam,2010,in,main data source for new analysis,,
434,"Housing, Theory and Society",3322; 3312; 3303; ,Deconstructing Coincidence: How Middle-Class Households use Various Forms of Capital to Find a Home,2012,in,Providing study background,,
435,Human Dimensions of Wildlife,2308; 2309; ,"The Influence of Human鈥揈lephant Conflict on Electric Fence Management and Perception Among Different Rural Communities in Laikipia County, Kenya",2016,in,Providing study background,y,
436,Human Ecology,2307; 2739; 2303; 3306; ,Superstorm Sandy and the Demographics of Flood Risk in New York City,2015,in,main data source for new analysis,,
437,Human Ecology,2307; 2739; 2303; 3306; ,Camels and Climate Resilience: Adaptation in Northern Kenya,2016,in,Providing study background,,
440,Human Resources for Health,2739; 3321; ,The public sector nursing workforce in Kenya: A county-level analysis,2014,in,main data source for new analysis,,multi-source
441,Human Resources for Health,2739; 3321; ,Training and deployment of medical doctors in Tanzania post-1990s health sector reforms: Assessing the achievements,2017,in,"used for result evaluation (e.g., as ground truth)",,
442,Human Resources for Health,2739; 3321; ,Aging village doctors in five counties in rural China: Situation and implications,2014,in,aiding result interpreting,,
443,Human-centric Computing and Information Sciences,1700; ,Activity-based Twitter sampling for content-based and user-centric prediction models,2017,in,main data source for new analysis,,
444,Hydrological Processes,2312; ,Regional patterns of postwildfire streamflow response in the Western United States: The importance of scale-specific connectivity,2017,in,Providing study background,,
445,Hydrological Processes,2312; ,Influence of land use on the quality of runoff along Israel鈥瞫 coastal strip (demonstrated in the cities of Herzliya and Ra鈥瞐nana),2015,in,Providing study background,,
446,Hydrological Sciences Journal,2312; ,Has urbanization changed ecological streamflow characteristics in Maine (USA)? [L'urbanisation a-t-elle chang茅 les caract茅ristiques des d茅bits 茅cologiques dans le Maine (USA)?],2012,in,aiding result interpreting,,
447,Hydrological Sciences Journal,2312; ,Quantifying the impact of urban area expansion on groundwater recharge and surface runoff,2016,in,main data source for new analysis,,
448,Hydrology and Earth System Sciences,1901; 2312; ,Regional analysis of groundwater droughts using hydrograph classification,2015,in,main data source for new analysis,,
449,Hydrology and Earth System Sciences,1901; 2312; ,Inter-comparison of daily precipitation products for large-scale hydro-climatic applications over Canada,2017,in,"used for result evaluation (e.g., as ground truth)",,mutli-source
450,Hydrology and Earth System Sciences,1901; 2312; ,Real-time monitoring of nitrate transport in the deep vadose zone under a crop field-implications for groundwater protection,2016,in,Providing study background,,
451,Hydrology and Earth System Sciences,1901; 2312; ,"Recharge estimation and soil moisture dynamics in a Mediterranean, semi-arid karst region",2015,in,main data source for new analysis,,
453,IEEE Computer Graphics and Applications,1704; 1712; ,STRAD Wheel: Web-Based Library for Visualizing Temporal Data,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
454,IEEE Internet of Things Journal,1705; 1706; 1708; 1710; 1711; ,On the Effect of Adaptive and Nonadaptive Analysis of Time-Series Sensory Data,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
455,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1902; 1903; ,Interdisciplinary decision support dashboard: A new framework for a tanzanian agricultural and ecosystem service monitoring system pilot,2012,in,Providing study background,,
456,IEEE Network,1705; 1708; 1710; 1712; ,VLnsight: Enabling open innovation in networked vehicle sensing and control,2016,in,aiding result interpreting,,
457,IEEE Sensors Journal,2208; 3105; ,Sensor search techniques for sensing as a service architecture for the internet of things,2014,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,"Bureau of Meteorology, (2012).
Experimental Environmental Linked-Data Published by the
Bureau of Meteorology, Melbourne, Australia [Online]. Available:
http://lab.environment.data.gov.au/"
458,IEEE Systems Journal,2208; 2207; ,Using LDA to Uncover the Underlying Structures and Relations in Smart City Data Streams,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
460,IEEE Transactions on Engineering Management,2208; 1408; ,Engineering Management Models for Urban Security,2017,in,main data source for new analysis,,
461,IEEE Transactions on Industrial Electronics,2208; 2207; ,Cooperative resource management in cloud-enabled vehicular networks,2015,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
462,IEEE Transactions on Intelligent Transportation Systems,1706; 2210; 2203; ,A Rule-Based Decision Support System in Intelligent Hazmat Transportation System,2015,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
463,IEEE Transactions on Intelligent Transportation Systems,1706; 2210; 2203; ,Autonomous-Vehicle Public Transportation System: Scheduling and Admission Control,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
464,IEICE Transactions on Information and Systems,1702; 2208; 1707; 1708; 1712; ,Information hiding and its criteria for evaluation,2017,in,Providing study background,,
465,IET Renewable Power Generation,2105; ,Comparison of solar radiation and PV generation variability: System dispersion in the UK,2017,in,Providing study background,,
466,Infants and Young Children,2738; 3204; 2735; ,Following up on community-based developmental screening: Do young children get the services they need?,2014,in,aiding result interpreting,,
467,Infection Control and Hospital Epidemiology,2725; 2726; 2713; ,Regional infection control assessment of antibiotic resistance knowledge and practice,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
