Item Title,Publication Year,Publication Title,in/out,use types,census,notes,,,,,,,,,,,,,,,
"Demographic, dispersal, predation and genetic data reveal the potential vulnerability of an endangered rainforest shrub, Triunia robusta (Proteaceae)",2017,Australian Journal of Botany,in,Providing study background,,,,,,,,,,,,,,,,,
Deterioration of flood affected Queensland roads 鈥?An investigative study,2016,International Journal of Pavement Research and Technology,in,Providing study background,,,,,,,,,,,,,,,,,
Increasing urban Indigenous students' attendance: Mitigating the influence of poverty through community partnership,2016,Australian Journal of Education,in,Providing study background,,,,,,,,,,,,,,,,,
"A Web-based system enabling the integration, analysis, and 3D sub-surface visualization of groundwater monitoring data and geological models",2016,International Journal of Digital Earth,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
"Food security, remoteness and consolidation of supermarket distribution centres: Factors contributing to food pricing inequalities across Queensland, Australia",2016,Australian Geographer,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Shifting fire regimes from late to early dry-season fires to abate greenhouse emissions does not completely equate with terrestrial vertebrate biodiversity co-benefits on Cape York Peninsula, Australia",2016,International Journal of Wildland Fire,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The impact of fire on riparian vegetation in Australia's tropical savanna,2015,Freshwater Science,in,Providing study background,,,,,,,,,,,,,,,,,
"Assessing Connectivity Between an Overlying Aquifer and a Coal Seam Gas Resource Using Methane Isotopes, Dissolved Organic Carbon and Tritium",2015,Scientific Reports,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Methods and participatory approaches for identifying social-ecological hotspots,2015,Applied Geography,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Transforming shark hazard policy: Learning from ocean-users and shark encounter in Western Australia,2015,Marine Policy,in,Providing study background,,,,,,,,,,,,,,,,,
"Microbial controls on the origin and evolution of coal seam gases and production waters of the Walloon Subgroup; Surat Basin, Australia",2015,International Journal of Coal Geology,in,Providing study background,,,,,,,,,,,,,,,,,
Indigenous dispossession in the 21st century: The northern frontier,2015,Alternative Law Journal,in,main data source for new analysis,,law journals are different…,,,,,,,,,,,,,,,
Analysis of public dental service waiting lists in Queensland,2015,Australian Journal of Primary Health,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Impact of initiatives to reduce public dental waiting lists in Queensland, Australia",2015,Australian Journal of Primary Health,in,main data source for new analysis,,almost identical with the above article,,,,,,,,,,,,,,,
Examining the spatial-temporal dynamics of bus passenger travel behaviour using smart card data and the flow-comap,2014,Journal of Transport Geography,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Exploring Bus Rapid Transit passenger travel behaviour using big data,2014,Applied Geography,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Spatial vulnerability assessment of anchor damage within the Great Barrier Reef World Heritage Area, Australia",2014,Ocean and Coastal Management,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Mapping regional groundwater chemistry zones in the Fitzroy Basin, using statistical and conceptual methods",2013,Proceedings of the Royal Society of Queensland,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Injection drug use and overdose among young adults who use prescription opioids non-medically,2018,Addictive Behaviors,in,Providing study background,,,,,,,,,,,,,,,,,
Dispersal-related traits of the snail Cornu aspersum along an urbanisation gradient: maintenance of mobility across life stages despite high costs,2016,Urban Ecosystems,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Access to substance use treatment among young adults who use prescription opioids non-medically,2016,"Substance Abuse: Treatment, Prevention, and Policy",in,Providing study background,,,,,,,,,,,,,,,,,
RoDisAir: Romanian diseases and air pollution observations put together,2016,"2015 E-Health and Bioengineering Conference, EHB 2015",in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Babesiosis occurrence among the elderly in the United States, as recorded in large medicare databases during 2006-2013",2015,PLoS ONE,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Orienting patients to greater opioid safety: Models of community pharmacy-based naloxone,2015,Harm Reduction Journal,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Acetyl Fentanyl, a Novel Fentanyl Analog, Causes 14 Overdose Deaths in Rhode Island, March鈥揗ay 2013",2015,Journal of Medical Toxicology,in,Providing study background,,,,,,,,,,,,,,,,,
On the occurrence of rainstorm damage based on home insurance and weather data,2015,Natural Hazards and Earth System Sciences,in,Providing study background,,,,,,,,,,,,,,,,,
"Correlations between the incidence of national notifiable infectious diseases and public open data, including meteorological factors and medical facility resources",2015,Journal of Preventive Medicine and Public Health,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A model of shared mycobacteriology testing services: Lessons learned,2015,Public Health Reports,in,Providing study background,,,,,,,,,,,,,,,,,
Profiles of Medicinal Cannabis Patients Attending Compassion Centers in Rhode Island,2015,Journal of Psychoactive Drugs,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Preventing transfusion-transmitted babesiosis: Preliminary experience of the first laboratory-based blood donor screening program,2012,Transfusion,in,Providing study background,,,,,,,,,,,,,,,,,
"Babesiosis among elderly medicare beneficiaries, United States, 2006-2008",2012,Emerging Infectious Diseases,in,aiding result interpreting,,,,,,,,,,,,,,,,,
"A comparison of depression and mental distress indicators, Rhode Island behavioral risk factor surveillance system, 2006",2011,Preventing Chronic Disease,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Transitioning to middle school in the sixth grade: A hierarchical linear modeling (HLM) analysis of substance use, violence, and suicidal thoughts",2010,Journal of Early Adolescence,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Seroprevalence of borrelia burgdorferi-specific C6 antibody in dogs before and after implementation of a nonadjuvanted recombinant outer surface protein a vaccine in a rhode Island small animal clinic,2010,Veterinary Therapeutics,in,Providing study background,,,,,,,,,,,,,,,,,
Adolescent Suicide and Health Risk Behaviors. Rhode Island's 2007 Youth Risk Behavior Survey,2010,American Journal of Preventive Medicine,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Identifying populations at high risk for diabetes with the behavioral risk factor surveillance system, Rhode Island, 2003",2010,Preventing Chronic Disease,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Mid to late Holocene environmental changes along the coast of western Sardinia (Mediterranean Sea),2017,Global and Planetary Change,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Landscape fragmentation in Mediterranean Europe: A comparative approach,2017,Land Use Policy,in,Providing study background,,,,,,,,,,,,,,,,,
Short-term Impact of Coppice Management on Soil in a Quercus ilex l. Stand of Sardinia,2017,Land Degradation and Development,in,Providing study background,,,,,,,,,,,,,,,,,
The influence of natura 2000 sites on land-taking processes at the regional level: An empirical analysis concerning Sardinia (Italy),2017,Sustainability (Switzerland),in,main data source for new analysis,,,,,,,,,,,,,,,,,
Metals and metalloids in wild asparagus at uncontaminated and mining-contaminated sites,2017,Journal of Environmental Quality,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Structure and tectonic setting of the SE Sardinia mafic dyke swarm. Insights for the stress state during magma emplacement in the upper crust,2016,Journal of Geodynamics,in,"ancillary data source for new analysis (e.g., as base map)",,hard to distinguish ancillary from main source. These are all geospatial data,,,,,,,,,,,,,,,
"Assessment of the Agronomic Feasibility of Bioenergy Crop Cultivation on Marginal and Polluted Land: A GIS-Based Suitability Study from the Sulcis Area, Italy",2016,Energies,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Morpho-sedimentology of a Mediterranean microtidal embayed wave dominated beach system and related inner shelf with Posidonia oceanica meadows: the SE Sardinian coast,2016,Journal of Maps,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Vegetation and fire history of coastal north-eastern Sardinia (Italy) under changing Holocene climates and land use,2016,Vegetation History and Archaeobotany,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Antimony in the soil-water-plant system at the Su Suergiu abandoned mine (Sardinia, Italy): Strategies to mitigate contamination",2014,Science of the Total Environment,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Spatial analysis of graffiti in San Francisco,2014,Applied Geography,in,main data source for new analysis,y,,,,,,,,,,,,,,,,
Wildfire risk estimation in the Mediterranean area,2014,Environmetrics,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The relationship between objectively measured walking and risk of pedestrian-motor vehicle collision,2017,American Journal of Epidemiology,in,main data source for new analysis,,seattle data,,,,,,,,,,,,,,,
Influence of charging behaviour given charging infrastructure specification: A case study of Singapore,2017,Journal of Computational Science,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Understanding the Relationships between mHealth Apps鈥?Characteristics, Trialability, and mHealth Literacy",2017,Journal of Health Communication,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Optimal location selection for the installation of urban green roofs considering honeybee habitats along with socio-economic and environmental effects,2017,Journal of Environmental Management,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Visible neighbor search using skyline query,2017,International Journal of Applied Engineering Research,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
A sinusoidal model for seasonal bicycle demand estimation,2017,Transportation Research Part D: Transport and Environment,in,main data source for new analysis,,multiple data sources,,,,,,,,,,,,,,,
Bubbles are departures from equilibrium housing markets: Evidence from Singapore and Taiwan,2016,PLoS ONE,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"The spatio-temporal relationship between alcohol outlets and violence before and after privatization: A natural experiment, Seattle, Wa 2010鈥?013",2016,Spatial and Spatio-temporal Epidemiology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Predicting vehicular emissions in high spatial resolution using pervasively measured transportation data and microscopic emissions model,2016,Atmospheric Environment,in,Providing study background,,,,,,,,,,,,,,,,,
Rethinking spatial planning for urban conviviality and social diversity: A study of nightlife in a Singapore public housing estate neighbourhood,2016,Town Planning Review,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Effects of economic and health conditions on the transition to living alone: A longitudinal study on older Koreans,2016,Development and Society,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Sleep time and pattern of adult individuals in primary care in an Asian urbanized community A cross-sectional study,2016,Medicine (United States),in,aiding result interpreting,,,,,,,,,,,,,,,,,
Analysis of 32 toxic natural substances in herbal products by liquid chromatography quadrupole linear ion trap mass spectrometry,2015,Journal of Pharmaceutical and Biomedical Analysis,in,Providing study background,,,,,,,,,,,,,,,,,
The spatio-temporal routine of pedestrian movements in large cities: The case of Seoul,2015,SSS 2015 - 10th International Space Syntax Symposium,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Assessment of urban ecosystem services using ecosystem services reviews and GIS-based tools,2015,Procedia Engineering,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Transit performance of modern-era streetcars: Consideration of five U.S. Cities,2015,Transportation Research Record,in,main data source for new analysis,,multi souces,,,,,,,,,,,,,,,
Risky business: Sustainability and industrial land use across Seattle's gentrifying riskscape,2015,Sustainability (Switzerland),in,main data source for new analysis,,,,,,,,,,,,,,,,,
Gender and ethnic differences in incidence and survival of lymphoid neoplasm subtypes in an Asian population: Secular trends of a population-based cancer registry from 1998 to 2012,2015,International Journal of Cancer,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Hierarchical semantic hashing: Visual localization from buildings on maps,2014,Proceedings - International Conference on Pattern Recognition,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
A mobile visual analytics approach for law enforcement situation awareness,2014,IEEE Pacific Visualization Symposium,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Perspectives on five decades of the urban greening of Singapore,2013,Cities,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Training and deployment of medical doctors in Tanzania post-1990s health sector reforms: Assessing the achievements,2017,Human Resources for Health,in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Geospatial modelling approach for 3D urban densification developments,2016,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
A geography of moral hazard: Sources and sinks of motor-vehicle commuting externalities,2014,Health and Place,in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Human energy budget modeling in urban parks in toronto and applications to emergency heat stress preparedness,2012,Journal of Applied Meteorology and Climatology,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Habitat Suitability Models, for ecological study of the alpine marmot in the central Italian Alps",2017,Ecological Informatics,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Topography-based flow-directional roughness: Potential and challenges,2016,Earth Surface Dynamics,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Uncertainty estimation and evaluation of shallow aquifers' exploitability: The case study of the Adige valley aquifer (Italy),2015,Water (Switzerland),in,Providing study background,,,,,,,,,,,,,,,,,
Maggengo meadow patches enclosed by forests in the Italian Alps: Evidence of landscape legacy on plant diversity,2011,Biodiversity and Conservation,in,main data source for new analysis,,seems the author also produced the OGD used.,,,,,,,,,,,,,,,
Consistent patterns of vehicle collision risk for six mammal species,2017,Journal of Environmental Management,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Analysing the usage and evidencing the importance of fast chargers for the adoption of battery electric vehicles,2017,Energy Policy,in,"ancillary data source for new analysis (e.g., as base map)",,multi sources,,,,,,,,,,,,,,,
Efficient pan-European river flood hazard modelling through a combination of statistical and physical models,2017,Natural Hazards and Earth System Sciences,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The association between air pollution and type 2 diabetes in a large cross-sectional study in Leicester: The CHAMPIONS Study,2017,Environment International,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Comparative analysis of intelligent transportation systems for sustainable environment in Smart Cities,2017,Sustainability (Switzerland),in,main data source for new analysis,,multi source,,,,,,,,,,,,,,,
Examining associations of environmental characteristics with recreational cycling behaviour by street-level strava data,2017,International Journal of Environmental Research and Public Health,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Exercise as an adjunct treatment for postpartum depression for women living in an inner city鈥擜 pilot study,2017,Health Care for Women International,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Disjoint interval partitioning,2017,VLDB Journal,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Non-stationary concept of accident prediction,2017,Proceedings of the Institution of Civil Engineers: Transport,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
How parents perceive screen viewing in their 5-6 year old child within the context of their own screen viewing time: a mixed-methods study,2017,BMC Public Health,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
The future of the London buy-to-let property market: Simulation with temporal Bayesian networks,2017,PLoS ONE,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Reconciling niches and neutrality in a subalpine temperate forest,2017,Ecosphere,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Measuring cycling accessibility in metropolitan areas,2017,International Journal of Sustainable Transportation,in,main data source for new analysis,,only draft version ,,,,,,,,,,,,,,,
Probabilistic flood extent estimates from social media flood observations,2017,Natural Hazards and Earth System Sciences,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Affective concordance in couples: A cross-sectional analysis of depression and anxiety consultations within a population of 13,507 couples in primary care",2017,BMC Psychiatry,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Random point sampling to detect gain and loss in tree canopy cover in response to urban densification,2017,Urban Forestry and Urban Greening,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Surface reflectance drives nest box temperature profiles and thermal suitability for target wildlife,2017,PLoS ONE,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Regional differences in price levels across the European Union and their implications for its regional policy,2017,Annals of Regional Science,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Rapid flood inundation mapping using social media, remote sensing and topographic data",2017,Natural Hazards,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A new approach to assessing the risk to woodland from pest and diseases,2017,Forestry,in,Providing study background,,,,,,,,,,,,,,,,,
Disturbance automated reference toolset (DART): Assessing patterns in ecological recovery from energy development on the Colorado Plateau,2017,Science of the Total Environment,in,main data source for new analysis,,multi source,,,,,,,,,,,,,,,
Comparison of solar radiation and PV generation variability: System dispersion in the UK,2017,IET Renewable Power Generation,in,Providing study background,,,,,,,,,,,,,,,,,
Variation in and risk factors for paediatric inpatient all-cause mortality in a low income setting: Data from an emerging clinical information network,2017,BMC Pediatrics,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Well London: Results of a Community Engagement Approach to Improving Health Among Adolescents from Areas of Deprivation in London,2017,Journal of Community Practice,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Patient-reported outcome measures in older people with hip fracture: a systematic review of quality and acceptability,2017,Quality of Life Research,in,Providing study background,,,,,,,,,,,,,,,,,
Utilizing crowdsourced data for studies of cycling and air pollution exposure: A case study using strava data,2017,International Journal of Environmental Research and Public Health,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Urban and suburban children's experiences with school travel 鈥?A case study,2017,Journal of Transport and Health,in,main data source for new analysis,,multi source,,,,,,,,,,,,,,,
Greater sage-grouse use of mechanical conifer reduction treatments in northwest utah,2017,Wildlife Society Bulletin,in,main data source for new analysis,,multi source,,,,,,,,,,,,,,,
A mobile sensor network to map carbon dioxide emissions in urban environments,2017,Atmospheric Measurement Techniques,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A multi-stage Smart Energy Management System under multiple uncertainties: A data mining approach,2017,Renewable Energy,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Modeling the prevention of colorectal cancer from the combined impact of host and behavioral risk factors,2017,Genetics in Medicine,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Cultural heritage through time: A case study at Hadrian's Wall, United Kingdom",2017,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",in,main data source for new analysis,,,,,,,,,,,,,,,,,
Analysis of diagnoses extracted from Electronic health records in a large mental health Case Register,2017,PLoS ONE,in,"ancillary data source for new analysis (e.g., as base map)",y,,,,,,,,,,,,,,,,
"Differences in expenditure and amounts of fresh foods, fruits and vegetables, and fish purchased in urban and rural Scotland",2017,Public Health Nutrition,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Opinions of women from deprived communities on national tobacco control measures in England,2017,Journal of Substance Use,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Obesity-related lymphoedema and hospice charities: Considerations for the future,2017,Journal of Lymphoedema,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Discovering historic traffic-tolerant paths in road networks,2017,GeoInformatica,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The Declining Incidence of Legg-Calve-Perthes' Disease in Northern Ireland: An Epidemiological Study,2017,Journal of Pediatric Orthopaedics,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Real-time velocity optimization to minimize energy use in passenger vehicles,2017,Energies,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Practicalities of health survey fieldwork research in a resource limited setting: Challenges and lessons learnt from Uganda,2017,African Health Sciences,in,Providing study background,,,,,,,,,,,,,,,,,
Hazard tolerance of spatially distributed complex networks,2017,Reliability Engineering and System Safety,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The challenge of ensuring persistency of identifier systems in the world of ever-changing technology,2017,Data Science Journal,in,Providing study background,,https://data.gov.uk/library/designing-uri-sets-for-location not sure if this counts as OGD,,,,,,,,,,,,,,,
"Using spatial network analysis to model pedal cycle flows, risk and mode choice",2017,Journal of Transport Geography,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Hydrological response to ~30 years of agricultural surface water management,2017,Land,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Using liminality to understand mothers’ experiences of long-term breastfeeding: ‘Betwixt and between’, and ‘matter out of place’",2015,health:,in,Providing study background,,,,,,,,,,,,,,,,,
Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,2017,Landscape and Urban Planning,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Greater sage-grouse resource selection drives reproductive fitness under a conifer removal strategy,2017,Rangeland Ecology and Management,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Barriers to and facilitators of smoking cessation in pregnancy and following childbirth: Literature review and qualitative study,2017,Health Technology Assessment,in,Providing study background,,,,,,,,,,,,,,,,,
Travel time prediction with LSTM neural network,2016,"IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Estimating the leakage contribution of phosphate dosed drinking water to environmental phosphorus pollution at the national-scale,2016,Science of the Total Environment,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Experimental abrasion of water submerged bone: The influence of bombardment by different sediment classes on microabrasion rate,2016,Journal of Archaeological Science: Reports,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Mortality and emergency hospitalizations associated with atmospheric particulate matter episodes across the UK in spring 2014,2016,Environment International,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Partnerships for disaster risk insurance in the EU,2016,Natural Hazards and Earth System Sciences,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Contribution of Arctic seabird-colony ammonia to atmospheric particles and cloud-albedo radiative effect,2016,Nature Communications,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Understanding the delayed prescribing of antibiotics for respiratory tract infection in primary care: A qualitative analysis,2016,BMJ Open,in,Providing study background,,,,,,,,,,,,,,,,,
Spatial structure and evolution of infrastructure networks,2016,Sustainable Cities and Society,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Socioeconomic Deprivation and Survival after Heart Transplantation in England: An Analysis of the United Kingdom Transplant Registry,2016,Circulation: Cardiovascular Quality and Outcomes,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Counting the cost of coastal vulnerability,2016,Ocean and Coastal Management,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Evaluating the effectiveness of restoring longitudinal connectivity for stream fish communities: towards a more holistic approach,2016,Science of the Total Environment,in,Providing study background,,,,,,,,,,,,,,,,,
Impact of cervical screening on cervical cancer mortality: Estimation using stage-specific results from a nested case-control study,2016,British Journal of Cancer,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Intelligent safety transport framework for schools: A review of route planning and tracking systems,2016,MATEC Web of Conferences,in,Providing study background,,,,,,,,,,,,,,,,,
Real-time forecasts of flood hazard and impact: Some UK experiences,2016,E3S Web of Conferences,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The automated reference toolset: A soil-geomorphic ecological potential matching algorithm,2016,Soil Science Society of America Journal,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Effectiveness of the influenza vaccine in preventing admission to hospital and death in people with type 2 diabetes,2016,CMAJ,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Economic feasibility of biodiesel production from waste cooking oil in the UAE,2016,Sustainable Cities and Society,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
The societal cost of Huntington's disease: are we underestimating the burden?,2016,European Journal of Neurology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Characteristics of people who rapidly and frequently reattend the emergency department for mental health needs,2016,European Journal of Emergency Medicine,in,Providing study background,,,,,,,,,,,,,,,,,
Pregnancy outcomes in myeloproliferative neoplasms: UK prospective cohort study,2016,British Journal of Haematology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"New economy, neoliberal state and professionalised parenting: mothers鈥?labour market engagement and state support for social reproduction in class-differentiated Britain",2016,Transactions of the Institute of British Geographers,in,Providing study background,,,,,,,,,,,,,,,,,
Considerations in the valuation of urban green space: Accounting for user participation,2016,Ecosystem Services,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Hybrid RFID system for driver assistant and active road accident prevention,2016,International Journal of Crashworthiness,in,Providing study background,,,,,,,,,,,,,,,,,
A simple framework for a complex problem? Predicting wildlife鈥搗ehicle collisions,2016,Ecology and Evolution,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The impact of social deprivation on mortality following hip fracture in England and Wales: a record linkage study,2016,Osteoporosis International,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
A statistical framework for automatic leakage detection in smart water and gas grids,2016,Energies,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Social inequalities in oral cancer literacy in an adult population in a multicultural deprived area of the UK,2016,Journal of Public Health (United Kingdom),in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Using multiple disparate data sources to map heat vulnerability: Vancouver case study,2016,Canadian Geographer,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The United Kingdom Ministry of Defence and the European Union's electrical and electronic equipment directives,2016,Resources Policy,in,Providing study background,,,,,,,,,,,,,,,,,
Social-ecological innovation: adaptive responses to urban environmental conditions,2016,Urban Ecosystems,in,main data source for new analysis,,land cover map,,,,,,,,,,,,,,,
Fuzzy partition technique for clustering Big Urban dataset,2016,"Proceedings of 2016 SAI Computing Conference, SAI 2016",in,main data source for new analysis,,experiment 2 algs in OGD datasets and compare,,,,,,,,,,,,,,,
Evolving networks - Using past structure to predict the future,2016,Physica A: Statistical Mechanics and its Applications,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Who comes back with what: A retrospective database study on reasons for emergency readmission to hospital in children and young people in England,2016,Archives of Disease in Childhood,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Cost-utility analysis of deep brain stimulation surgery plus best medical therapy versus best medical therapy in patients with Parkinson's: Economic evaluation alongside the PD SURG trial,2016,Movement Disorders,in,main data source for new analysis,,,,,,,,,,,,,,,,,
An evaluation of the effect of an angiotensin-converting enzyme inhibitor on the growth rate of small abdominal aortic aneurysms: A randomised placebo-controlled trial (AARDVARK),2016,Health Technology Assessment,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Surveying the citizen science landscape: An exploration of the design, delivery and impact of citizen science through the lens of the Open Air Laboratories (OPAL) programme",2016,BMC Ecology,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Application of a random effects negative binomial model to examine tram-involved crash frequency on route sections in Melbourne, Australia",2016,Accident Analysis and Prevention,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Inequalities in the provision of paediatric speech and language therapy services across London boroughs,2016,International Journal of Language and Communication Disorders,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
An effective syntax for bounded relational queries,2016,Proceedings of the ACM SIGMOD International Conference on Management of Data,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Data Polygamy: The many-many relationships among urban spatio-temporal data sets,2016,Proceedings of the ACM SIGMOD International Conference on Management of Data,in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Energy loss minimization for vehicular energy network routing,2016,"Proceedings of the Workshop on Electric Vehicle Systems, Data, and Applications, EV-SYS 2016",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Playing LEGO with JSON: Probabilistic joins over attribute-value fragments,2016,"2016 IEEE 32nd International Conference on Data Engineering Workshops, ICDEW 2016",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
